,Before Transaction Costs,After Transaction Costs
Cumulative Return,0.36545652668625883,0.35062823593337256
Annualized Return,0.1699843440316653,0.16356340979447248
Annualized Volatility,0.09213926498062089,0.09172373168047022
Sharpe Ratio,1.8448632520285146,1.7832180047390978
Max Drawdown,-0.0607339860645808,-0.0607339860645808
Win Rate,0.192,0.192
Average Daily Return,0.0006398696917276775,0.0006178696917276775
Turnover,0.044,0.044
Number of Trades,22.0,22.0
