Date,stock1,stock2,z_score,position,position_change,spread_return,strategy_return_before_cost,transaction_cost,strategy_return_after_cost,equity_after_cost
2023-01-03,BDX,SRE,1.7707276728361105,0.0,0.0,,,0.0,,
2023-01-04,BDX,SRE,1.7901298602935816,0.0,0.0,0.004892244284781196,0.0,0.0,0.0,1.0
2023-01-05,BDX,SRE,1.604311636031263,0.0,0.0,-0.005929337059147296,-0.0,0.0,-0.0,1.0
2023-01-06,BDX,SRE,1.7645109926571438,0.0,0.0,0.011711685272005865,0.0,0.0,0.0,1.0
2023-01-09,BDX,SRE,1.08476142711405,0.0,0.0,-0.03181865199495158,-0.0,0.0,-0.0,1.0
2023-01-10,BDX,SRE,1.257060503021615,0.0,0.0,0.010789277211448798,0.0,0.0,0.0,1.0
2023-01-11,BDX,SRE,1.1126539875481418,0.0,0.0,-0.005332030519838268,-0.0,0.0,-0.0,1.0
2023-01-12,BDX,SRE,1.0012698811563867,0.0,0.0,-0.004010108376685244,-0.0,0.0,-0.0,1.0
2023-01-13,BDX,SRE,1.0671534410833687,0.0,0.0,0.005080690235801798,0.0,0.0,0.0,1.0
2023-01-17,BDX,SRE,1.0110463571351127,0.0,0.0,-0.0011291672679870992,-0.0,0.0,-0.0,1.0
2023-01-18,BDX,SRE,0.9751928172967442,0.0,0.0,-0.00014652580891348285,-0.0,0.0,-0.0,1.0
2023-01-19,BDX,SRE,1.0042079413235063,0.0,0.0,0.003251129628770921,0.0,0.0,0.0,1.0
2023-01-20,BDX,SRE,0.8823893436455683,0.0,0.0,-0.004736963402300961,-0.0,0.0,-0.0,1.0
2023-01-23,BDX,SRE,0.5073523663235113,0.0,0.0,-0.018200232507744784,-0.0,0.0,-0.0,1.0
2023-01-24,BDX,SRE,0.18136526287632,0.0,0.0,-0.016168841200893715,-0.0,0.0,-0.0,1.0
2023-01-25,BDX,SRE,0.25290122057526854,0.0,0.0,0.004441723899510352,0.0,0.0,0.0,1.0
