Date,KDP-MCD,BDX-EVRG,DHI-ITW,BDX-CMS,BDX-SRE,BDX-LNT,BDX-SO,BDX-ETR,BKNG-MGM,CFG-MGM
2023-03-07,0.0,0.005079285232926508,0.010939141447154056,0.004536066112510937,0.005046404789414766,0.004994052671825936,0.0025914700410432307,0.00665081277421463,-0.0,-0.04395305622753816
2023-03-08,0.0,-0.010593039251228044,0.02424984995803934,-0.008118932515357741,-0.004453069136533799,-0.007044759035473449,-0.005144820989884726,-0.005548068683340834,-0.0,-0.02234320698201877
2023-03-09,0.0,-0.008829544577141909,0.026668536254378396,-0.005701029623310939,-0.006972543396200312,-0.007239819424350078,-0.00836385406498435,-0.006598548436299629,-0.0,-0.026626597931093877
2023-03-10,-0.0,-0.002894314321238326,0.0,-0.005401828869106377,-0.0038277564722778564,-0.004893783675410664,-0.008879278673443423,-0.004943416415475486,-0.0,-0.027939041969153006
2023-03-13,-0.0,-0.0014439987095964564,0.0,-0.00034650823359522794,0.007572996691455646,4.848137302483971e-05,0.0032761088328851625,0.003994037343568764,-0.0,-0.09862672562726607
2023-03-14,-0.0,0.0013045082386279848,-0.0,0.0034811802100380026,0.0006321798281795016,0.0032662463949233132,0.0031058507030979348,0.0016093258489016538,0.0,0.028654266923499143
2023-03-15,0.0,0.0029810852628277063,0.0,-0.0009728312679382787,0.007787640654084484,0.0011620614620227124,0.0021037163544573214,0.003169113462613502,-0.0,0.012656742082693958
2023-03-16,-0.0,0.013381875809873135,0.0,0.013606642638131865,0.010251656237814943,0.01281307817604896,0.013419076075505862,0.012819446294361473,0.0,0.016014842867356452
2023-03-17,0.0,-0.006029700448142905,-0.0,-0.007326522427897125,-0.003513033886642542,-0.008508600485334122,-0.00952798976067172,-0.006794847532080978,0.0,-0.04097466522546907
2023-03-20,-0.0,0.011193167659260312,-0.0,0.009532405927957142,0.007414932007033342,0.009129299588151325,0.01023854015617897,0.00841692488302634,0.0,0.01162428911031598
